Canada,
Lat,Lon
58.5125,-94.285282
58.425963,-94.291173
58.349163,-94.3264
58.281654,-94.350146
58.223873,-94.363891
58.218882,-94.363327
58.223318,-94.358055
58.351391,-94.259446
58.395891,-94.229436
58.430827,-94.231109
58.494154,-94.238891
58.587982,-94.245064
58.763609,-94.143891
58.762218,-94.113891
58.760827,-93.995836
58.7625,-93.949155
58.767773,-93.843891
58.773609,-93.798618
58.784854,-93.718891
58.780818,-93.673046
58.763882,-93.575564
58.732491,-93.475555
58.748327,-93.347218
58.757909,-93.323482
58.766936,-93.236664
58.764163,-93.216664
58.758327,-93.196382
58.739018,-93.153891
58.691936,-93.141109
58.653882,-93.139727
58.530136,-93.126518
58.508891,-93.118055
58.467209,-93.095273
58.370827,-93.035282
58.261109,-92.964718
58.211663,-92.931109
58.143054,-92.868882
58.071663,-92.811664
58.049718,-92.801655
58.006936,-92.805346
57.968882,-92.795273
57.850827,-92.753618
57.801382,-92.724718
57.733045,-92.6725
57.670545,-92.621109
57.437773,-92.448609
57.3327,-92.418746
57.257636,-92.428746
57.230545,-92.4411
57.085545,-92.549436
57.062909,-92.570146
56.961663,-92.695264
56.946173,-92.721527
56.938045,-92.771391
56.924436,-92.837218
56.911236,-92.872355
56.906654,-92.868327
56.907909,-92.841118
56.913882,-92.790555
56.9186,-92.756955
56.922491,-92.731382
56.9336,-92.6911
56.947209,-92.656246
56.971791,-92.613609
56.986382,-92.589173
57.004718,-92.552782
57.023609,-92.514446
57.035,-92.483746
57.044718,-92.443055
57.052218,-92.400555
57.056382,-92.3761
57.065818,-92.244582
57.059854,-92.218618
56.979427,-92.341118
56.971936,-92.360273
56.967073,-92.390009
56.958882,-92.425418
56.933745,-92.467927
56.949718,-92.375
56.967491,-92.303055
56.976654,-92.284164
56.993327,-92.265282
57.012773,-92.235273
57.021518,-92.212364
57.030818,-92.180282
57.037627,-92.146591
57.040836,-92.093064
57.043882,-92.057773
57.046663,-92.031682
57.052491,-91.9875
57.057209,-91.952227
57.087209,-91.828891
57.100273,-91.78
57.222218,-91.241109
57.239991,-91.155836
57.251109,-91.089446
57.257073,-91.045555
57.261382,-90.997218
57.256518,-90.824718
57.246518,-90.787364
57.237773,-90.7589
57.232491,-90.738055
57.227209,-90.714446
57.212209,-90.563327
57.193882,-90.451109
57.181663,-90.408618
57.173736,-90.389736
57.134991,-90.310818
57.104436,-90.225555
57.031382,-90.025009
57.016445,-90.000136
57.004163,-89.970273
56.978327,-89.833073
56.957218,-89.715291
56.929436,-89.521391
56.923882,-89.439164
56.864854,-89.132946
56.852218,-89.068073
56.847773,-89.015291
56.843654,-88.946446
56.824436,-88.815
56.764445,-88.742764
56.709436,-88.671936
56.696382,-88.654727
56.686654,-88.635691
56.670545,-88.584164
56.603609,-88.440555
56.586382,-88.415009
56.561663,-88.365827
56.542773,-88.324173
56.504436,-88.218891
56.486936,-88.149446
56.4761,-88.103055
56.468882,-88.069736
56.465545,-88.048891
56.458045,-88.023755
56.439573,-87.979164
56.315273,-87.841109
56.199154,-87.720491
56.160682,-87.710073
56.05,-87.548618
56.029164,-87.478882
55.9968,-87.360409
55.977145,-87.348118
55.940273,-87.198336
55.928464,-87.100836
55.926936,-87.057218
55.929718,-87.031682
55.931664,-86.996946
55.930691,-86.974727
55.907209,-86.881946
55.891382,-86.837782
55.838882,-86.616946
55.830273,-86.572782
55.824436,-86.544446
55.810127,-86.482227
55.8,-86.448609
55.784164,-86.398618
55.774991,-86.372773
55.758882,-86.339446
55.743327,-86.318609
55.727909,-86.2725
55.657491,-85.867218
55.636173,-85.731946
55.554436,-85.563055
55.523464,-85.529027
55.492354,-85.513191
55.454709,-85.474164
55.406936,-85.388482
55.374709,-85.272227
55.364718,-85.225691
55.363473,-85.173336
55.345273,-85.1302
55.312145,-85.118327
55.294027,-85.136664
55.2686,-85.215291
55.216664,-85.275282
55.097009,-85.3984
55.0675,-85.383618
55.047218,-85.398055
54.999091,-85.419964
55.002909,-85.3932
55.027073,-85.368746
55.040554,-85.3625
55.080827,-85.347782
55.101664,-85.335555
55.130127,-85.3157
55.224436,-85.220273
55.248882,-85.186936
55.267218,-85.148055
55.276654,-85.116655
55.2875,-85.068073
55.292773,-85.043882
55.296664,-85.001955
