Philippines,
Lat,Lon
13.876773,120.619472
13.945554,120.6172
13.965,120.619427
14.118327,120.609991
14.1375,120.578872
14.215827,120.588882
14.231109,120.592209
14.267218,120.626918
14.276109,120.640827
14.282773,120.656645
14.2825,120.666654
14.281945,120.676654
14.289718,120.7086
14.318054,120.752772
14.329445,120.768054
14.394164,120.838318
14.451391,120.902482
14.4771,120.9731
14.490554,120.985545
14.514864,120.993591
14.531391,120.993872
14.549164,120.991091
14.625827,120.961645
14.636945,120.956645
14.651664,120.946927
14.673054,120.932209
14.681427,120.9241
14.701945,120.904163
14.7175,120.888045
14.760345,120.837282
14.758054,120.7897
14.755554,120.770827
14.753609,120.754709
14.769718,120.681091
14.806391,120.615536
14.826109,120.562763
14.823264,120.548663
14.721664,120.5486
14.710554,120.550809
14.696527,120.557763
14.654027,120.579991
14.518891,120.610809
14.501945,120.6122
14.488054,120.610409
14.462218,120.603045
14.437082,120.5811
14.425273,120.558318
14.421945,120.542072
14.429718,120.493318
14.440554,120.454163
14.458609,120.3936
14.471664,120.389163
14.505273,120.380254
14.528054,120.377472
14.624445,120.317754
14.635827,120.302754
14.688745,120.252072
14.699854,120.249709
14.731664,120.253882
14.766109,120.259718
14.779164,120.277482
14.803954,120.295472
14.847773,120.245245
14.8275,120.214154
14.813609,120.211927
14.771945,120.200818
14.751391,120.191509
14.744582,120.183036
14.740136,120.157345
14.750827,120.132754
14.7575,120.123027
14.783473,120.087345
14.889445,120.055682
14.931664,120.055818
14.951391,120.057745
14.985273,120.064427
15.020827,120.064991
15.047636,120.064709
15.096664,120.054982
15.164445,120.038036
15.263891,120.0125
15.278891,120.005254
15.345827,119.965
15.379718,119.939145
15.402845,119.909291
15.425554,119.899427
15.436382,119.897772
15.480418,119.901509
15.491109,119.905963
15.5225,119.955554
15.622773,119.908336
15.705273,119.919982
