China,
Lat,Lon
44.093609,131.284972
44.051936,131.298036
44.037354,131.262754
44.021382,131.244418
43.973873,131.231082
43.818882,131.199127
43.536245,131.191227
43.511664,131.223018
43.505554,131.235509
43.481936,131.272763
43.473418,131.283054
43.457145,131.301009
43.389582,131.310391
43.270273,131.264163
43.185818,131.191927
43.038891,131.1062
43.015554,131.103027
42.982209,131.103991
42.958609,131.114963
42.939709,131.133372
42.916445,131.128491
42.857082,131.021363
42.8518,130.887191
42.857773,130.865509
42.870273,130.841645
42.8761,130.818572
42.871936,130.795536
42.831664,130.638027
42.789991,130.532745
42.765273,130.475527
42.744854,130.432736
42.703118,130.411118
42.679164,130.471145
42.684854,130.497327
42.682,130.536091
42.645,130.584963
42.619709,130.605227
42.585409,130.618709
42.5636,130.607463
42.4811,130.580263
42.421864,130.604372
42.427145,130.586491
42.443045,130.567472
42.537218,130.522491
42.568054,130.514163
42.617491,130.376618
42.6418,130.328445
42.714154,130.246782
42.786245,130.236218
42.811664,130.243291
42.831664,130.250272
42.887945,130.251418
42.906654,130.193163
42.958045,130.034145
42.9954,129.947554
43.0061,129.929218
43.004573,129.904591
42.991791,129.877672
42.942482,129.847045
42.853609,129.807463
42.713882,129.753309
42.547491,129.725509
42.522218,129.732882
42.4754,129.728291
42.452491,129.716627
42.435818,129.695527
42.386936,129.514709
42.432773,129.445118
42.446236,129.349272
42.375827,129.246063
42.265827,129.209409
42.221309,129.211209
42.168054,129.152463
42.139436,129.114409
42.094991,129.016691
42.094191,129.0141
42.0784,128.958082
42.052073,128.949263
42.027354,128.926927
42.022764,128.895536
42.029718,128.844972
42.021027,128.683091
42.000273,128.570254
41.995545,128.497054
41.997627,128.472882
42.012773,128.4467
42.0286,128.422482
42.0375,128.361354
42.039718,128.336091
42.038327,128.275527
42.001245,128.056636
41.981645,128.050109
41.910545,128.060791
41.884991,128.068845
41.803045,128.098436
41.714573,128.155672
41.676382,128.203854
41.663882,128.226627
41.650409,128.254272
41.636936,128.269436
41.582836,128.300245
41.530273,128.2822
41.4411,128.222472
41.407491,128.192672
41.381236,128.152909
41.371791,128.114336
41.389436,128.044127
41.415827,128.011654
41.447345,127.928027
41.424164,127.871091
41.409991,127.835272
41.413127,127.694154
41.418054,127.620818
41.472491,127.270827
41.529991,127.159418
41.593609,127.134991
41.621373,127.100809
41.6435,127.057036
41.6911,127.060809
41.708327,127.048027
41.796109,126.927618
41.792218,126.904709
41.761382,126.868863
41.735827,126.8479
41.708045,126.795536
41.6911,126.712772
41.660545,126.645536
41.611764,126.566082
41.589718,126.568045
41.570827,126.583182
41.389991,126.510272
41.366727,126.484
41.357218,126.4561
41.342491,126.437763
41.319164,126.4111
41.275691,126.366927
41.214436,126.309982
41.172627,126.286227
41.152773,126.279163
41.034718,126.124691
40.896936,126.011791
40.877627,125.932545
40.859973,125.703109
40.852145,125.688582
40.8026,125.649845
40.755827,125.603863
40.741382,125.553036
40.703327,125.457491
40.6538,125.412691
40.639991,125.369136
40.649991,125.314991
40.647491,125.2861
40.585264,125.140545
40.5375,125.042763
40.494164,125.024709
40.460682,125.039982
40.459164,124.9622
40.470373,124.885127
40.396664,124.812472
40.307009,124.710991
40.2968,124.688718
40.283609,124.626927
40.242218,124.5547
40.130273,124.410809
40.102218,124.381363
40.093618,124.3736
40.094436,124.367963
40.069645,124.356854
40.035273,124.364563
40.009582,124.362754
39.981936,124.344436
39.927773,124.291654
39.827773,124.128027
39.813045,124.013609
39.809991,123.985263
39.821382,123.7754
39.823882,123.7397
39.831654,123.698036
39.7686,123.551091
39.734436,123.406936
39.777491,123.378036
39.8143,123.2422
39.748882,123.209991
39.723182,123.248454
39.699291,123.2638
39.673882,123.216663
39.658527,123.145472
39.635682,122.995809
39.609164,122.965554
39.581936,122.814418
39.552218,122.774427
39.466936,122.586927
39.409991,122.458454
39.4086,122.424427
39.411664,122.398609
39.384718,122.352763
39.345827,122.287772
39.330964,122.281518
39.269436,122.233872
39.141109,122.131363
39.0352,121.946718
39.047218,121.9136
39.030273,121.724018
38.996382,121.648036
38.952218,121.6436
38.925682,121.654854
38.917073,121.676927
38.890136,121.7104
38.8611,121.698182
38.810545,121.474991
38.806382,121.447745
38.803318,121.411927
38.807209,121.387209
38.815827,121.363591
38.812491,121.336091
38.784164,121.262772
38.771518,121.239836
38.719082,121.187336
38.732182,121.138282
38.762773,121.121645
38.912209,121.088672
38.943673,121.127482
38.947773,121.1861
38.934154,121.218518
39.0125,121.4397
39.047218,121.540263
39.064709,121.601927
39.066382,121.615536
39.073609,121.651509
39.090127,121.679427
39.118327,121.6879
39.157773,121.643882
39.183809,121.5961
39.2186,121.599427
39.351664,121.7511
39.3575,121.662491
39.357218,121.639972
39.359436,121.533863
39.367354,121.509154
39.392491,121.483872
39.426654,121.475272
39.464427,121.463809
39.511664,121.431663
39.519991,121.379154
39.522073,121.353591
39.512082,121.332491
39.497773,121.3097
39.528464,121.228345
39.581664,121.299145
39.626654,121.461927
39.623218,121.533009
39.685718,121.534209
39.684436,121.503882
39.7436,121.455409
39.811382,121.468318
39.861245,121.539982
39.925691,121.696918
39.920273,121.716936
39.912073,121.757282
39.920545,121.781372
40.003054,121.880954
40.130264,121.9986
40.243882,122.105818
40.354436,122.195536
40.471927,122.287772
40.505618,122.298663
40.533609,122.282491
40.679991,122.131363
40.738745,122.052127
40.778327,121.939418
40.840827,121.751391
40.837773,121.728863
40.834164,121.6736
40.8336,121.6147
40.841309,121.558936
40.866027,121.542127
40.888045,121.523882
40.931382,121.363736
40.924436,121.197745
40.921936,121.177463
40.871373,121.108872
40.839427,121.081672
40.829373,121.001645
40.815345,120.969845
40.7502,120.936363
40.727554,120.952472
40.7302,120.996091
40.711036,121.032418
40.675,120.9286
40.6761,120.895536
40.671109,120.844427
40.6611,120.825818
40.5125,120.679427
40.392564,120.540118
40.258673,120.503527
40.2386,120.498027
40.1961,120.446782
40.188045,120.426372
40.148609,120.280818
40.107773,120.152482
40.066664,120.024427
40.040554,119.946372
40.0286,119.925809
39.982209,119.851382
39.973045,119.812482
39.929991,119.657491
39.905264,119.589709
39.872418,119.526445
39.712073,119.3395
39.5511,119.255827
39.406727,119.255682
39.384991,119.2361
39.347209,119.176372
39.3186,119.132754
39.243218,119.055354
39.188045,119.009163
39.156936,118.971518
39.123945,118.899009
39.148464,118.915545
39.161518,118.942754
39.190127,118.967482
39.179164,118.840818
39.1536,118.784709
39.144018,118.755127
39.149509,118.7184
39.176654,118.661927
39.189291,118.609145
39.162073,118.544145
39.147209,118.525963
39.123045,118.508118
39.065545,118.397772
39.0536,118.369427
39.040827,118.327282
39.073818,118.241636
39.107009,118.235191
39.132764,118.216663
39.171936,118.1779
39.1911,118.150054
39.201664,118.1236
39.223045,118.055263
39.220827,118.023609
39.216936,118.009991
39.198464,117.889
39.182209,117.852482
39.165545,117.819718
39.153318,117.799427
39.105,117.743872
39.069991,117.727482
39.024436,117.723172
38.898327,117.650818
38.835545,117.604572
38.802773,117.585272
38.775273,117.571927
38.675554,117.536372
38.640827,117.540672
38.616664,117.545582
38.612773,117.5461
38.592491,117.553591
38.465827,117.621372
38.4361,117.639972
38.413609,117.654427
38.386654,117.672209
38.363327,117.695254
38.348327,117.710818
38.326945,117.736645
38.273882,117.803172
38.2639,117.826518
38.244436,117.883882
38.167209,118.028054
38.146382,118.110527
38.145273,118.185809
38.129154,118.357209
38.1134,118.452136
38.100545,118.4836
38.110827,118.599154
38.142491,118.7122
38.158882,118.794436
38.152909,118.837763
38.038464,118.951654
37.904991,119.026382
37.878318,119.035536
37.762218,119.049145
37.666518,119.0379
37.640827,119.0061
37.616245,118.983318
37.594436,118.970682
37.575827,118.963318
37.539991,118.9538
37.381382,118.937763
37.342491,118.940809
37.300545,118.956645
37.270827,118.9711
37.187491,119.1272
37.171109,119.158863
37.143609,119.232754
37.139436,119.2536
37.131664,119.297763
37.122773,119.395827
37.1236,119.453045
37.127491,119.482763
37.136518,119.5143
37.137773,119.546654
37.136382,119.587772
37.132209,119.642763
37.138045,119.7122
37.143054,119.744418
37.151382,119.767209
37.216936,119.861363
37.239991,119.886091
37.263191,119.894018
37.286518,119.887082
37.323327,119.861236
37.352282,119.852909
37.416382,119.994709
37.425827,120.036918
37.431936,120.058872
37.4761,120.141663
37.511664,120.194009
37.602909,120.307818
37.643882,120.322
37.662491,120.309418
37.685264,120.348872
37.708045,120.405254
37.748327,120.506654
37.766936,120.580272
37.788054,120.660954
37.806309,120.684909
37.826109,120.710818
37.834991,120.737072
37.828327,120.878036
37.811454,120.9324
37.780964,120.935154
37.756945,120.960272
37.653318,121.127482
37.596727,121.138527
37.579164,121.1611
37.5536,121.382754
37.466518,121.478463
37.424573,121.579991
37.429718,121.633327
37.439618,121.669409
37.458045,121.6947
37.460545,121.821663
37.461109,121.940536
37.474436,121.975809
37.512773,122.018882
37.536664,122.067754
37.552564,122.128172
37.512082,122.150054
37.493327,122.126963
37.464436,122.135272
37.425964,122.161791
37.418327,122.181372
37.396245,122.558582
37.209991,122.597209
37.149991,122.534709
37.148673,122.4979
37.131173,122.477409
37.105827,122.467482
37.143636,122.452382
37.025827,122.400545
36.999573,122.410409
37.005,122.433591
37.019782,122.539154
36.909918,122.523318
36.893609,122.504709
36.827773,122.354427
36.823327,122.312472
36.842973,122.192336
36.8736,122.175263
36.944154,122.1647
36.984991,122.044982
37.000273,121.956645
36.978527,121.919082
36.933536,121.938309
36.838882,121.7372
36.758891,121.594436
36.749791,121.522491
36.779282,121.511172
36.791518,121.544709
36.8361,121.606572
36.844227,121.585263
36.837491,121.551091
36.821109,121.489436
36.772664,121.448436
36.722764,121.372754
36.712491,121.341372
36.704718,121.286654
36.686791,121.204709
36.677491,121.175536
36.654991,121.134718
36.639164,121.1111
36.620273,121.089982
36.604573,121.070127
36.581,121.015745
36.596436,120.952182
36.6193,120.930672
36.639164,120.875809
36.647354,120.8429
36.645273,120.820545
36.616654,120.776382
36.594436,120.752491
36.555409,120.738236
36.536664,120.773463
36.547909,120.795327
36.573118,120.806991
36.600064,120.835891
36.600273,120.858318
36.550664,120.940563
36.526382,120.959991
36.401927,120.898036
36.375827,120.875263
36.372764,120.8647
36.420545,120.8436
36.459227,120.818245
36.462627,120.779709
36.456518,120.754572
36.422773,120.706236
36.380827,120.6829
36.262482,120.671236
36.140745,120.695627
36.055191,120.417918
36.0419,120.343591
36.060654,120.291891
36.091664,120.316091
36.172927,120.354709
