Mexico,
Lat,Lon
31.599445,-108.208618
31.699445,-108.207782
31.783336,-108.208618
31.783882,-108.175
31.783054,-107.908336
31.783882,-107.708073
31.783336,-107.608064
31.783882,-107.575009
31.783336,-107.507782
31.783882,-107.441391
31.783336,-107.375
31.783882,-107.341136
31.783336,-107.274727
31.783882,-107.241955
31.783336,-107.174727
31.783882,-107.141682
31.783336,-107.075291
31.783609,-106.608336
31.782054,-106.539564
31.780754,-106.522882
31.757082,-106.4964
31.750273,-106.460009
31.751664,-106.439182
31.754027,-106.416536
31.7475,-106.395846
31.687354,-106.334309
31.6375,-106.303346
31.5975,-106.289173
31.5593,-106.272227
31.472218,-106.209873
31.431945,-106.143618
31.4025,-106.062927
31.395273,-106.011673
31.369718,-105.972782
31.2825,-105.858064
31.269164,-105.841946
31.254445,-105.827518
31.208191,-105.786955
31.178264,-105.771664
31.144164,-105.710009
31.081527,-105.600009
31.057918,-105.5807
30.996391,-105.5414
30.946391,-105.490709
30.865836,-105.393064
30.797218,-105.253064
30.804718,-105.222573
30.778609,-105.169446
30.749718,-105.125
30.694164,-105.061955
30.632218,-104.990846
30.607636,-104.934727
30.566245,-104.896527
30.525,-104.879727
30.466391,-104.865009
30.386109,-104.822236
30.318054,-104.776946
30.233327,-104.705564
30.1875,-104.682236
30.167773,-104.675
30.105418,-104.679309
30.058882,-104.701327
30.005,-104.695009
29.940973,-104.678064
29.672918,-104.541818
29.595836,-104.453336
29.569445,-104.419173
29.525,-104.338055
29.5309,-104.316746
29.525973,-104.285136
29.508327,-104.252791
29.494445,-104.228346
29.460973,-104.202436
29.422773,-104.169727
29.355273,-104.080836
29.3425,-104.063609
29.330827,-104.045291
29.321109,-104.023618
29.305827,-103.975009
29.285827,-103.889173
29.199164,-103.735836
29.126109,-103.5314
29.088891,-103.485
29.073054,-103.461946
29.036391,-103.401118
29.023609,-103.375
28.997364,-103.296255
28.996518,-103.290873
28.984027,-103.163691
29.094164,-103.051955
29.183054,-102.955
29.254164,-102.895846
29.352218,-102.851118
29.474082,-102.804764
29.742773,-102.670291
29.767773,-102.560836
29.781664,-102.496255
29.850554,-102.355564
29.887982,-102.301809
29.867918,-102.261255
29.847218,-102.227782
29.810554,-102.121946
29.802773,-102.0975
29.798191,-102.072782
29.798473,-102.0482
29.805827,-101.990846
29.806109,-101.892227
29.804718,-101.825836
29.796664,-101.774736
29.788891,-101.745009
29.778054,-101.706682
29.766391,-101.628764
29.771109,-101.539173
29.772218,-101.456682
29.772782,-101.405009
29.692473,-101.369355
29.660554,-101.355836
29.615273,-101.310836
29.540273,-101.218609
29.490691,-101.139036
29.482082,-101.106673
29.4615,-101.043
29.437773,-101.025282
29.35,-100.936955
29.258745,-100.795709
29.109027,-100.665836
28.995827,-100.628209
28.958609,-100.634455
28.933327,-100.621946
28.894718,-100.590564
28.863609,-100.564455
28.822773,-100.527364
28.725709,-100.491818
28.704164,-100.492373
28.675836,-100.479864
28.626391,-100.443891
28.571109,-100.399446
28.518327,-100.359173
28.494718,-100.350846
28.425418,-100.329591
28.400409,-100.331264
28.280554,-100.281464
28.242773,-100.240282
28.1975,-100.1864
28.165691,-100.108473
28.155618,-100.078336
28.116391,-100.050846
27.984718,-99.962236
27.961664,-99.935009
27.903891,-99.880836
27.855554,-99.871946
27.805136,-99.860909
27.7743,-99.832927
27.771745,-99.8067
27.766664,-99.7982
27.737636,-99.7823
27.727145,-99.7589
27.714718,-99.7414
27.689164,-99.727436
27.668936,-99.7139
27.656945,-99.6964
27.641391,-99.653627
27.641245,-99.606182
27.600064,-99.530836
27.568054,-99.5039
27.476664,-99.4732
27.258054,-99.443346
27.046945,-99.458618
26.869854,-99.319246
26.859927,-99.271127
26.830827,-99.253346
26.803609,-99.239727
26.714445,-99.200564
26.526945,-99.132509
26.435,-99.104736
26.405827,-98.975573
26.391391,-98.925291
26.348891,-98.784182
26.314445,-98.730009
26.289718,-98.695564
26.256664,-98.604736
26.256109,-98.578336
26.223327,-98.439873
26.191664,-98.388064
26.153609,-98.361391
26.109164,-98.305282
26.097773,-98.286118
26.0625,-98.200009
26.038891,-98.060146
26.047773,-98.033336
26.058609,-97.979736
26.063609,-97.847509
26.058054,-97.803346
26.038054,-97.6789
26.029445,-97.648055
26.005,-97.614455
25.951109,-97.559446
25.898327,-97.514446
25.843327,-97.417227
25.839854,-97.364727
25.859654,-97.344736
25.893054,-97.346682
25.92,-97.315291
25.941109,-97.265291
25.967218,-97.160846
