USA,
Lat,Lon
32.256382,-80.631382
32.293782,-80.643073
32.342991,-80.641664
32.422764,-80.653609
32.450273,-80.674436
32.397218,-80.674709
32.328164,-80.682609
32.319718,-80.711118
32.3727,-80.764518
32.461382,-80.798046
32.500273,-80.806946
32.519991,-80.832364
32.462491,-80.8275
32.419164,-80.816255
32.310545,-80.783327
32.284718,-80.7664
32.260064,-80.740346
32.258882,-80.710346
32.217073,-80.672291
32.156654,-80.7207
32.109582,-80.819727
32.152491,-80.8011
32.156654,-80.825564
32.079436,-80.879164
32.0418,-80.896191
32.027854,-80.892964
32.006282,-80.835418
31.971936,-80.854718
31.894582,-80.934582
31.861936,-80.977709
31.792218,-81.055555
31.728609,-81.121936
31.692636,-81.126936
31.613327,-81.136946
31.564854,-81.1659
31.560109,-81.241755
31.565273,-81.279027
31.567773,-81.3025
31.554791,-81.329027
31.491109,-81.2841
31.5018,-81.252064
31.474718,-81.204727
31.357218,-81.2775
31.323054,-81.293882
31.267182,-81.268955
31.221245,-81.284236
31.162427,-81.386036
31.177627,-81.404082
31.205064,-81.408536
31.207218,-81.4441
31.113473,-81.488436
31.084691,-81.435636
31.089727,-81.409882
31.029027,-81.419446
30.942218,-81.459591
30.927218,-81.473609
30.900691,-81.501391
30.849445,-81.533755
30.800273,-81.510146
30.777918,-81.492909
30.752009,-81.487291
30.732218,-81.495273
30.713464,-81.507336
30.691936,-81.472782
30.639436,-81.435273
30.573054,-81.444155
30.508327,-81.453064
30.467082,-81.412509
30.385,-81.3907
30.358054,-81.392773
30.283191,-81.390836
30.261109,-81.386127
30.190273,-81.361118
30.074436,-81.329727
29.973882,-81.304173
29.903882,-81.287218
29.796664,-81.255282
29.776664,-81.248046
29.619718,-81.185273
29.558327,-81.159164
29.243045,-81.0139
29.153045,-80.966109
28.939718,-80.829727
28.747218,-80.7025
28.715964,-80.681173
28.669164,-80.638473
28.590554,-80.587218
28.554582,-80.565982
28.525,-80.552491
28.449336,-80.535173
28.432491,-80.559864
28.402218,-80.596955
28.339164,-80.597782
28.274164,-80.597782
28.246664,-80.597782
28.226109,-80.595555
28.194718,-80.590836
28.173609,-80.586946
28.142218,-80.580836
28.111109,-80.573064
28.079436,-80.561391
28.033745,-80.536946
27.968882,-80.496655
27.935827,-80.475009
27.918327,-80.464173
27.874473,-80.446136
27.864436,-80.446655
27.954718,-80.507782
28.044582,-80.561391
28.114854,-80.593055
28.1375,-80.600827
28.161109,-80.607227
28.217909,-80.620282
28.328054,-80.621655
28.402773,-80.616946
28.424854,-80.605282
28.468882,-80.591673
28.501664,-80.584309
28.548882,-80.584655
28.608609,-80.6032
28.608327,-80.6593
28.588954,-80.674573
28.604373,-80.755346
28.635691,-80.782491
28.687182,-80.770346
28.708118,-80.745055
28.731727,-80.751455
28.771664,-80.813046
28.780973,-80.843609
28.651664,-80.823064
28.420691,-80.757236
28.3375,-80.718891
28.034445,-80.576673
27.854164,-80.486936
27.812564,-80.4609
27.787218,-80.441936
27.769164,-80.4325
27.695545,-80.397227
27.668609,-80.385564
27.632218,-80.371936
27.583327,-80.356036
27.538191,-80.349518
27.429991,-80.312073
27.193609,-80.215009
27.138191,-80.150973
27.051664,-80.105273
26.985691,-80.082509
26.864436,-80.051664
26.795691,-80.035336
26.632354,-80.028746
26.552982,-80.035209
26.515,-80.046391
26.492491,-80.050827
26.383609,-80.067509
26.200545,-80.094727
25.905554,-80.136127
25.743191,-80.191236
25.684164,-80.255846
25.599373,-80.312909
25.5425,-80.313327
25.538054,-80.311936
25.502427,-80.339446
25.319718,-80.3761
25.249854,-80.421109
25.207909,-80.419446
25.186654,-80.397509
25.191209,-80.415309
25.241936,-80.453546
25.216327,-80.488873
25.198745,-80.503155
25.233982,-80.510909
25.245545,-80.539991
25.240545,-80.573964
25.186936,-80.652218
25.163609,-80.682218
25.162218,-80.827791
